temporada;jugador;puntos_por_partido;asistencias_por_partido;tapones_por_partido;rebotes_por_partido
00/01;2;6.2;1.3;0.2;4.2
00/01;3;6.4;0.8;0.5;3.5
00/01;8;2;0.3;0.1;2.2
00/01;14;23.4;5.5;0.6;8.9
00/01;21;20.1;3.2;1.6;10.1
00/01;26;6.9;6.1;0.1;3.4
00/01;28;10;1.2;4.2;4.2
00/01;29;19.5;2.5;0.3;5
00/01;33;12.6;1.8;0.6;4.1
00/01;43;2.1;0.2;0.1;1.5
00/01;50;11.6;5;0.1;4.1
00/01;52;11.9;1.7;0.2;4
00/01;62;28.5;5;0.6;5.9
00/01;65;11.5;4.4;0.1;3
00/01;69;7.6;0.3;0.9;4.7
00/01;70;2;0.2;0.2;1.3
00/01;71;17.2;5.2;1.6;7.8
00/01;94;4.5;0.6;0.9;3.9
00/01;103;4.6;2.3;0.2;1.5
00/01;109;22.2;8.4;0.2;3.2
00/01;112;8.1;0.8;0.1;3.4
00/01;114;7.7;0.8;0.7;5.4
00/01;121;7.5;1.3;2;4.8
00/01;128;15.8;8;0.3;4.4
00/01;129;2.2;3.3;0;1.2
00/01;153;11.7;0.8;1.5;6.7
00/01;155;6.5;3.2;0;1.7
00/01;158;12.3;1.1;0.7;7.1
00/01;159;9.8;7.4;0.1;3.3
00/01;160;14;3.2;0.4;5.5
00/01;162;6.4;1.5;2.3;13.2
00/01;181;15.5;3.7;0.2;4.4
00/01;182;6.5;3.2;0;1.1
00/01;187;6.2;0.7;0.6;3.3
00/01;190;3.2;0.1;0.2;1.8
00/01;205;5.9;0.8;0.3;3.2
00/01;207;2.6;0.9;0.8;5.8
00/01;212;1.9;0.3;0.4;2.1
00/01;228;16.5;4.5;0.6;5.5
00/01;240;22;4.6;0.2;5.2
00/01;242;8.5;1.6;1.1;9.3
00/01;243;18.2;7.6;0.1;3.8
00/01;245;22;5;1.8;11.4
00/01;246;5;1;0;0.8
00/01;248;25.3;3.1;0.8;6.4
00/01;249;6.5;0.6;1.3;6
00/01;250;8.1;2;0.5;5.3
00/01;261;15.9;8.4;0.2;3.7
00/01;285;3.9;0.5;1.2;3.6
00/01;287;4.6;1.6;0.3;1
00/01;291;17.3;2;1.4;1.4
00/01;292;13.6;0.9;2.4;7.8
00/01;295;9.4;5.4;0.1;2.4
00/01;300;20.5;3.1;0.9;9.1
00/01;301;11.9;3;0.6;3.9
00/01;305;2.6;1.4;0.2;0.9
00/01;307;8.9;1.9;0.7;7.4
00/01;308;4.4;0.4;0.8;3.9
00/01;310;7.1;1;0.6;5.6
00/01;313;12.4;1.2;0.9;7.5
00/01;322;3.4;0.5;0.2;2
00/01;329;9.3;1.3;0.2;3.2
00/01;330;20.4;2.2;0.2;5.8
00/01;331;12.7;2.8;0.3;4.9
00/01;340;2.1;1.8;0;0.8
00/01;343;19.9;6.5;0.4;6.9
00/01;347;7.2;2;0.1;3.1
00/01;349;26.8;4.6;1.5;7.5
00/01;350;9.1;1.1;2.8;14.1
00/01;361;8.8;34;0.2;3.1
00/01;363;7.6;1.6;0.6;3
00/01;364;22.2;3;2.3;12.2
00/01;365;20.2;4.4;0.3;5.3
00/01;367;5.2;1.6;0.7;3.7
00/01;372;13;5.7;0.1;3.7
00/01;373;10.4;0.8;0.9;6.7
00/01;375;6.1;3.9;0;1.8
00/01;386;12.9;1.4;2.6;7.8
00/01;391;0.8;0.1;0.9;2.2
00/01;403;9.4;3.8;0.2;2.1
00/01;405;24.9;2;0.3;8.7
00/01;410;2.2;0.5;0.1;0.7
00/01;425;5.9;2.3;0.1;1.2
00/01;427;5.9;0.8;2.7;7
00/01;428;8.3;0.7;0.2;2.8
00/01;431;14.8;1.6;0.8;6.9
00/01;434;5.3;0.9;0.3;2.8
00/01;443;7.4;1.4;1.4;5.8
00/01;445;18.2;2.9;0.4;7
00/01;446;17.4;2.7;0.9;4.6
00/01;447;16.9;9.8;0.3;6.4
00/01;448;3.4;1.2;0;0.8
00/01;449;4.6;0.4;1;4
00/01;450;21.8;2.1;1.2;9.2
00/01;451;29.8;5.1;0.7;3.9
00/01;452;19.7;4.9;0.2;3.3
00/01;454;3.1;0.3;0.2;1.9
00/01;462;15.9;7;0.2;4.6
00/01;464;27.6;3.9;1.1;5.5
00/01;471;4.9;0.4;1;3.6
00/01;472;17;1.7;0.4;7.1
00/01;482;12;4.1;0.1;2.1
00/01;483;12;0.8;2.2;11.5
00/01;484;6.4;3.7;0.1;2.5
00/01;490;12;1.9;1.7;7.4
00/01;491;3.3;0.7;0.2;2.4
00/01;505;11.1;1.8;0.3;4.3
00/01;506;2;1;0;0
00/01;524;3.5;0.5;0.4;5.5
00/01;530;12.9;1.2;2.8;9.8
00/01;541;9.3;3.4;0.1;2.1
00/01;543;18.1;2.9;0.1;3.1
00/01;546;10.1;2.7;0.2;2.1
00/01;549;20.8;2.1;1.5;12.1
00/01;551;12.4;1.2;3.7;8.3
00/01;554;19.2;2.8;1.8;7.8
00/01;566;2.1;0.6;0.1;2
00/01;567;13.6;1.6;1;7
00/01;581;1;0;0;0.2
00/01;584;13.8;6.3;0.5;6.3
00/01;586;15.6;7.3;0.1;3.2
00/01;587;28.7;3.7;2.8;12
00/01;588;10.6;1.2;0.2;3
00/01;589;4.1;0.5;0.3;4.3
00/01;604;10.1;1.1;0.6;3.3
00/01;605;18.1;8.5;0.6;4.3
00/01;607;7.5;1.7;0.2;4.9
00/01;608;8.2;1.8;0.2;2.7
01/02;2;5.8;1.1;0.4;3.9
01/02;3;4.6;0.6;0.3;4
01/02;8;2.8;0.7;0.2;2.7
01/02;14;22.1;5;0.5;8.8
01/02;21;18.2;2.4;2;11.6
01/02;26;7;5.7;0.1;2.1
01/02;28;11.4;1.8;0.3;3.7
01/02;29;21.7;2.5;0.5;4.1
01/02;33;11.7;1.4;0.4;4.1
01/02;42;4.5;0.8;0.5;3.5
01/02;43;2.1;0.3;0;0.8
01/02;44;4.5;1.1;0.6;3.9
01/02;50;12.2;3.7;0.3;4
01/02;52;15.2;3.1;0.4;4.3
01/02;62;25.2;5.5;0.4;5.5
01/02;65;11.2;2.6;0.1;2.1
01/02;66;17.6;2.7;2.1;8.9
01/02;69;7.7;0.3;1.2;5.3
01/02;70;8;1.1;0.5;5.3
01/02;71;13.1;5.9;1.2;6.1
01/02;72;6.7;1.3;0.4;3.8
01/02;84;2;0.3;0.3;1.3
01/02;94;8.4;0.9;1.3;6.5
01/02;103;9.3;2.4;0.2;1.5
01/02;104;6.7;0.3;0.7;3.8
01/02;105;5.3;0.4;1.5;4.1
01/02;109;20.4;8.1;0.2;3.2
01/02;111;2.8;0.3;0.1;1.7
01/02;112;13.3;1.6;0.3;4.1
01/02;114;9.4;0.7;0.5;6
01/02;121;6.2;1.1;0.9;3.6
01/02;128;16.5;10.9;0.4;4.7
01/02;129;5.3;3.4;0;1.4
01/02;153;11.1;1.1;1.4;5.4
01/02;155;5.1;2.1;0;1.5
01/02;158;10.7;1.1;0.8;6.3
01/02;159;12.1;6.6;0.2;3.5
01/02;160;18.7;3.1;0.3;4.8
01/02;162;7.6;1.4;3.5;13
01/02;181;10.8;3.1;0.1;2.7
01/02;182;4.1;2.1;0;0.8
01/02;187;7.7;0.5;0.5;4.5
01/02;190;9.7;0.4;0.7;7.9
01/02;193;14.4;3;0.4;4.3
01/02;194;3.2;0.5;0.1;1.6
01/02;201;1.6;0.4;0;0.8
01/02;205;12.4;1.4;0.4;4.7
01/02;207;1.1;0.3;0.5;3.4
01/02;209;3.7;0.6;0.2;1.7
01/02;212;5;0.3;0.4;4.2
01/02;228;12.3;4.3;0.3;3.4
01/02;240;21.8;3.9;0.3;4.5
01/02;242;8.4;1.3;1;9.8
01/02;243;19.7;6.7;0.2;4.2
01/02;245;21.2;5.2;1.6;12.1
01/02;246;8;1.9;0.1;1.7
01/02;248;26.1;3.2;1;6.9
01/02;249;6.4;0.7;0.9;7.1
01/02;250;10.7;2.5;0.5;5.9
01/02;254;2.1;0.8;0.1;1.8
01/02;261;13.7;5;0.2;2.8
01/02;263;7.2;3;0.1;2.4
01/02;265;6.3;1.5;0.2;2.9
01/02;285;2.1;0.2;0.4;1.9
01/02;287;11.7;2.2;0.3;3
01/02;291;19.1;2;1.1;9.9
01/02;292;15.7;1.2;2.5;8.4
01/02;295;14.8;8;0.1;3
01/02;300;21.2;3.1;1;9
01/02;301;10.9;1.8;0.6;5
01/02;305;2.8;1.4;0;0.9
01/02;307;12.7;2.1;0.6;8.4
01/02;308;2.6;0.4;0.3;1.8
01/02;310;14.1;1.9;0.9;7.2
01/02;313;12;1;0.5;9.4
01/02;320;3;0.3;1.2;3.2
01/02;322;4.9;0.7;0.6;4
01/02;324;6.1;0.8;1.3;4.8
01/02;326;2.8;1.3;0.1;0.9
01/02;329;14;2.4;0.2;3.5
01/02;330;21.2;2.5;0.2;5.3
01/02;331;17;2.8;0.3;6
01/02;340;3.5;2.9;0;1.4
01/02;341;14.4;2.8;1;5.4
01/02;343;21.6;6.4;0.4;7
01/02;347;11.1;2;0.1;3.1
01/02;349;25.6;5.3;1;7.9
01/02;350;11.5;1;2.4;10.8
01/02;353;1.8;0.4;0.6;2
01/02;361;14.4;5.3;0.5;5.4
01/02;363;7;1.5;0.4;2.7
01/02;364;25.5;3.7;2.5;12.7
01/02;365;22.6;5.3;0.4;6.3
01/02;367;6.8;2.9;1.1;5.9
01/02;371;9.2;4.3;0.1;2.6
01/02;372;13.5;6.5;0.1;3.9
01/02;373;13.9;1.1;1;9.1
01/02;375;6.6;4.3;0;2
01/02;386;10.8;1.2;2.2;7.4
01/02;391;2.7;0.3;1.7;4
01/02;400;10.9;3.7;0.2;2.8
01/02;403;9.2;2.8;0.2;2.1
01/02;404;5.1;0.5;1.5;5.2
01/02;405;19.7;2;0.6;6.8
01/02;410;4.9;1.7;0.4;2
01/02;411;4.3;0.1;0.7;3.9
01/02;420;4.1;2.5;0.1;1.4
01/02;425;4.1;0.9;0.2;0.2
01/02;426;2.1;0.4;0;0.4
01/02;427;4.8;0.5;2.1;4.9
01/02;428;11.1;1.2;0.3;4.2
01/02;431;16.8;1.7;0.6;7
01/02;434;10.1;2;0.4;4.5
01/02;440;4.3;0.4;0.7;3.2
01/02;443;7.6;1.2;2.3;5.3
01/02;445;17.9;2.6;0.6;7.1
01/02;446;18.3;3.2;0.9;4.7
01/02;447;14.7;9.9;0.2;7.3
01/02;448;7.8;3.5;0;1.7
01/02;449;8.5;0.4;1;5.6
01/02;450;23.4;2.4;1;9.9
01/02;451;21.4;5.3;0.5;4.1
01/02;452;19.3;5.7;0.2;3.5
01/02;454;7.1;1.4;0.5;3.7
01/02;462;12.4;5.5;0.1;3.9
01/02;464;24.7;4;0.7;5.2
01/02;465;1.4;0.3;0.6;0.9
01/02;467;8.7;2.2;0.6;3.3
01/02;468;9.4;1.8;0.6;3.7
01/02;471;11.8;0.7;1.7;6.3
01/02;472;14.8;2;0.5;7.5
01/02;482;12.1;3.3;0.1;2
01/02;483;11.1;1.1;1.7;11.1
01/02;484;4.3;4.7;0.1;2.5
01/02;487;3.6;0.1;0.8;1.8
01/02;490;14.9;2.6;1.7;5.3
01/02;491;6.5;0.6;0.5;5.5
01/02;503;6.4;0.8;0.3;4.2
01/02;505;11.8;1.3;0.1;7.1
01/02;506;2.6;1.2;0.1;1.3
01/02;507;10.7;1.1;1.9;4.9
01/02;524;5.7;0.9;0.5;6.8
01/02;528;5.9;0.9;0.3;3.9
01/02;530;19;1.6;2.3;10.5
01/02;533;9.4;8.1;0.5;3.7
01/02;541;12.5;5.5;1.68;2.8
01/02;543;20;2.7;0.2;3.4
01/02;546;5.8;1.6;0.2;1.5
01/02;549;11.3;1.8;0.8;5.5
01/02;551;8.7;0.3;2.7;5.3
01/02;554;19.3;1.9;1.3;8.2
01/02;566;7.2;1.8;0.2;3.9
01/02;567;14.8;1.7;1.2;7.6
01/02;572;3.6;2;0.1;1.3
01/02;581;3.4;1;0.1;1.5
01/02;584;16.8;4.6;0.3;8.9
01/02;585;4.6;0.4;0.5;3.6
01/02;586;17.9;7.7;0.1;3.1
01/02;587;27.2;3;2;10.7
01/02;588;8.8;1.6;0.2;2.6
01/02;589;3.4;0.3;0.9;4.3
01/02;604;6.8;1;0.4;2.9
01/02;605;17.1;6.4;0.4;3.7
01/02;607;13.1;1.2;0.2;6.3
01/02;608;3.9;0.5;0.1;1.1
02.03;324;9.2;1;1.4;6.9
02/03;2;6;2.9;0.2;2.9
02/03;3;4.4;0.6;0.2;2.9
02/03;6;7.4;2.9;0.2;2.4
02/03;8;3.2;0.7;0.3;2.9
02/03;14;20.1;4.8;0.4;7.2
02/03;21;18.5;2.5;2.5;11.3
02/03;23;3.7;1.7;0;0.9
02/03;26;3.9;4.2;0;1.5
02/03;28;16.8;1.9;0.2;5
02/03;29;17.5;2.8;0.5;4.2
02/03;30;6.2;2.5;0.2;1.8
02/03;33;13.3;1.3;0.6;4.9
02/03;42;7.4;0.7;1;5.3
02/03;43;0.8;0.2;0;1
02/03;44;5.7;1.1;0.5;4.5
02/03;48;5.1;1;0.1;1.2
02/03;50;9;3.5;0.1;4.4
02/03;52;16.4;2.8;0.3;5.8
02/03;62;30;5.9;0.8;6.9
02/03;65;10.5;3.6;0.2;2.9
02/03;66;19;2.8;1.8;8.8
02/03;69;5.9;0.5;0.7;4.4
02/03;70;7.7;1.4;0.4;3.7
02/03;71;14.6;3.6;0.8;6.7
02/03;72;10.1;1.3;0.3;4.5
02/03;82;2.5;0;0.7;1.4
02/03;84;1.9;0.2;0.2;1
02/03;94;11.2;1.5;1.5;6.5
02/03;103;10.7;4.2;0.3;2.3
02/03;104;10.5;0.5;0.8;4.4
02/03;105;5.4;0.5;1.6;4.2
02/03;106;4;0.8;0.2;2.9
02/03;107;1.2;0.3;0.1;0.5
02/03;109;22.3;8.1;0.2;3.2
02/03;111;8.4;0.5;0.2;4.5
02/03;112;9.4;0.9;0.2;4.8
02/03;114;10.4;1.6;0.5;6.4
02/03;121;2.9;0.3;0.7;2.3
02/03;124;3.2;0.5;0.2;6.6
02/03;128;13.6;6.7;0.1;4
02/03;129;6.4;3.8;0;2.5
02/03;151;1.7;0.3;0.3;3.7
02/03;153;17.2;1.6;1.9;7.5
02/03;155;4.6;1.6;0.1;1.4
02/03;158;7.5;0.7;1;5
02/03;159;12.9;6.6;0.1;3.7
02/03;160;17.6;2.6;0.4;4.6
02/03;162;6.9;1.6;3.2;15.4
02/03;181;13.9;4.3;0.2;3.5
02/03;182;8.8;3.3;0.1;1.3
02/03;187;7.7;0.8;0.3;6.4
02/03;190;4.6;0.2;0.6;3.7
02/03;193;15.6;3;0.3;4.6
02/03;194;4.7;0.5;0.3;2.7
02/03;203;3.4;0.2;1.1;4
02/03;205;14.1;1.8;0.4;6.4
02/03;209;3.3;0.6;0.1;2.1
02/03;212;3.8;0.6;0.4;3.5
02/03;224;12.85;1.15;0.55;7.1
