codigo;nombre;procedencia;altura;peso;posicion;nombre_equipo
1;Corey Brever;Florida;6-9;185;F-G;Timberwolves
2;Greg Buckner;Clemson;6-4;210;G-F;Timberwolves
3;Michael Doleac;Utah;6-11;262;C;Timberwolves
4;Randy Foye;Villanova;6-4;213;G;Timberwolves
5;Ryan Gomes;Providence;6-7;250;F;Timberwolves
6;Marko Jaric;Serbia;6-7;224;G;Timberwolves
7;Al Jefferson;Prentiss Hs;6-10;265;C-F;Timberwolves
8;Mark Madsen;Stanford;6-9;250;C-F;Timberwolves
9;Rashard McCants;North Carolina;6-4;21;G;Timberwolves
10;Chris Richard ;Florida;6-9;270;F;Timberwolves
11;Craig Smith;Boston College;6-8;250;F-C;Timberwolves
12;Kirk Snyder;Nevada-Reno;6-6;225;G;Timberwolves
13;Sebastian Telfair;Abraham Lincoln HS;6-0;175;G;Timberwolves
14;Antoine Walker;Kentucky;6-9;245;F;Timberwolves
21;Elton brand;duke;6-8;254;F;Clippers
22;Paul Davis;Michigan;6-11;270;c;Clippers
23;Dan Dickau;Gonzaga;6-0;180;G;Clippers
24;Nick Fazekas;Nevada-Reno;6-11;235;F;Clippers
25;Chris Kaman;Central Michigan;7-0;265;C;Clippers
26;Brevin Knight;Stanford;5-10;170;G;Clippers
27;Shaun Livingston;Peoria Central;6-7;182;G;Clippers
28;Corey Maggette;duke;6-6;225;F;Clippers
29;Cuttino Mobley;Rhode Island;6-4;215;G;Clippers
30;Smush Parker;Fordham;6-4;190;G;Clippers
31;Josh Powell;North Carolina State;6-9;240;C-F;Clippers
32;Quinton Ross;Southern Methodist;6-6;193;G-F;Clippers
33;Tim Thomas;Villanova;6-10;240;F;Clippers
34;al thornton;Florida State;6-8;220;F;Clippers
35;Marcus Williams;Arizona;6-7;207;F;Clippers
41;Andre Brown;De Paul;6-9;245;F;Grizzlies
42;Kwame Brown;Glynn Academy;6-11;270;C;Grizzlies
43;Brian Cardinal;Purdue;6-8;245;F;Grizzlies
44;Jason Collins;Stanford;7-0;255;C-F;Grizzlies
45;Mike Conley;Ohio State;6-1;180;G;Grizzlies
46;Javaris Crittenton;Georgia Tech;6-5;200;G;Grizzlies
47;Rudy Gay;Connecticut;6-8;222;F;Grizzlies
48;Casey Jacobsen;Stanford;6-6;215;g;Grizzlies
49;Kyle Lowry;Villanova;6-0;175;G;Grizzlies
50;Aaron Mckie;Temple;6-5;209;G;Grizzlies
51;Darko Milicic;Serbia Montenegro;7-0;275;C-F;Grizzlies
52;Mike Miller;Florida;6-8;218;G-F;Grizzlies
53;Juan Carlos Navarro;Spain;6-3;170;G;Grizzlies
54;Hakim Warrick;Syracuse;6-9;215;F;Grizzlies
61;Trevor Ariza;UCLA;6-8;210;F;Lakers
62;Kobe Bryant;Lower Merion HS (PA);6-6;205;G;Lakers
63;Andrew Bynum;St. Joseph HS (NJ);7-0;285;C;Lakers
64;Jordan Farmar;UCLA;6-2;180;G;Lakers
65;Derek Fisher;Arkansas-Little Rock;6-1;210;G;Lakers
66;Pau Gasol;Spain;7-0;250;F-C;Lakers
67;Didier Ilunga-Mbenga;Congo;7-0;255;C;Lakers
68;Coby Karl;Boise State;6-5;215;G;Lakers
69;Chris Mihm;Texas;7-0;265;C;Lakers
70;Ira Newble;Miami(Ohia);6-7;220;G-F;Lakers
71;Lamar Odom;Rhode Island;6-10;230;F;Lakers
72;Vladimir Radmanovic;Serbia Montenegro;6-10;235;F;Lakers
73;Ronny Turiaf;Gonzaga;6-10;250;F-C;Lakers
74;Sasha Vujacic;Slovenia;6-7;205;G;Lakers
75;Luke Walton;Arizona;6-8;235;F;Lakers
81;Andrea Bargnani;Italy;7-0;250;C-F;Raptors
82;Maceo Baston;Michigan;6-10;230;C-F;Raptors
84;Primoz Brezec;Slovenia;7-1;255;C;Raptors
85;Jose Calderon;Spain;6-3;210;G;Raptors
86;Carlos Delfino;Argentina;6-6;230;G;Raptors
87;T.J. Ford;Texas;6-0;165;G;Raptors
88;Jorge Garbajosa;Spain;6-9;245;F;Raptors
89;Joey Graham;Oklahoma State;6-7;225;F;Raptors
90;Kris Humphries;Minnesota;6-9;235;F;Raptors
91;Linton Johnson III;Tulane;6-8;205;F;Raptors
92;Jason Kapono;UCLA;6-8;215;F;Raptors
93;Jamario Moon;Merdian CC (MS);6-8;205;F;Raptors
94;Rasho Nesterovic;Slovenia;7-0;255;C;Raptors
95;Anthony Parker;Bradley;6-6;215;G-F;Raptors
100;Renaldo Balkman;South Carolina;6-8;202;F;Knicks
101;Wilson Chandler;DePaul;6-8;220;F;Knicks
102;Mardy Collins;Temple;6-6;220;G;Knicks
103;Jamal Crawford;Michigan;6-5;220;G;Knicks
104;Eddy Curry;Thornwood HS;6-11;285;C;Knicks
105;Jerome James;Florida AM;7-1;285;C;Knicks
106;Jared Jeffries;Indiana;6-11;240;F;Knicks
107;Fred Jones;Oregon;6-2;225;G;Knicks
108;David Lee;Florida;6-9;240;F;Knicks
109;Stephon Marbury;Georgia Tech;6-2;205;G;Knicks
110;Randolph Morris;Kentucky;6-11;260;C;Knicks
111;Zach Randolph;Michigan State;6-9;260;F;Knicks
112;Quentin Richardson;DePaul;6-6;235;F-G;Knicks
113;Nate Robinson;Washington;5-9;180;G;Knicks
114;Malik Rose;Drexel;6-7;255;F;Knicks
120;Louis Amundson; Nevada-Las Vegas; 6-9;225;F;76ers
121;Calvin Booth;Penn State;6-11;250;C;76ers
122;Rodney Carney;Memphis;6-7;204;F;76ers
123;Samuel Dalembert;Seton Hall;6-11;250;C;76ers
124;Reggie Evans;Iowa;6-8;245;F;76ers
125;Willie Green;Detroit Mercy;6-3;201;G;76ers
126;Herbert Hill;Providence;6-10;240;F-C;76ers
127;Andre Iguodala;Arizona;6-6;207;F-G;76ers
128;Andre Miller;Utah;6-2;200;G;76ers
129;Kevin Ollie;Connecticut;6-2;195;G;76ers
130;Shavlik Randolph;Duke;6-10;240;F;76ers
131;Jason Smith;Colorado Sate;7-0;240;F;76ers
132;Louis Williams;South Gwinnett HS;6-2;175;G;76ers
133;Thaddeus Young;Georgio Tech;6-8;220;F;76ers
150;Lance Allred;Weber State;6-11;250;C;Cavaliers
151;Devin Brown;Texas-San Antonio;6-5;210;G;Cavaliers
152;Daniel Gibson;Texas;6-2;194;G;Cavaliers
153;Zydrunas Ilgauskas;St. Vincent-St. Mary;7-3;260;C;Cavaliers
154;LeBron James;Houston;6-8;250;F;Cavaliers
155;Damon Jones;Saint Joseph's;6-3;195;G;Cavaliers
156;Dwayne Jones;Serbia;6-11;251;C-F;Cavaliers
157;Aleksandar Pavlovic;Maryland;6-7;239;G-F;Cavaliers
158;Joe Smith;Michigan State;6-10;225;F-C;Cavaliers
159;Eric Snow;Miami ;6-3;205;G;Cavaliers
160;Wally Szczerbiak;Brazil;6-7;245;F;Cavaliers
161;Anderson Varejao;Merdian CC (MS);6-10;240;C-F;Cavaliers
162;Ben Wallace;Virginia Union;6-9;240;C-F;Cavaliers
163;Delonte West;Saint Joseph's;6-3;180;G;Cavaliers
181;Derek Anderson;Kentucky;6-5;195;G;Bobcats
182;Earl Boykins;Eastern michigan;5-5;133;G;Bobcats
183;Matt Carroll;Notre Dame;6-6;212;G;Bobcats
184;Jermareo Davidson;Alabama;6-10;230;F;Bobcats
185;Jared Dudley;Boston College;6-7;225;F;Bobcats
186;Raymond Felton;North Carolina;6-1;198;G;Bobcats
187;Othella Harrington;Georgetown;6-9;235;F-C;Bobcats
188;Ryan Hollins;Ucla;7-0;230;C;Bobcats
189;Sean May;North Carolina;6-9;266;F-C;Bobcats
190;Nazr Mohammed;Kentucky;6-10;250;C;Bobcats
191;Adam Morrison;Gonzaga;6-8;205;F;Bobcats
192;Emeka Okafor;Connecticut;6-10;255;F-C;Bobcats
193;Jason Richardson;Michigan State;6-6;225;G-F;Bobcats
194;Gerald Wallace;Alabama;6-7;220;F;Bobcats
201;Charlie Bell;Michigan State;6-3;200;G;Bucks
202;Andrew Bouqt;Utah;7-0;260;C;Bucks
203;Dan Gadzuric;Ucla;6-11;245;C;Bucks
204;Royal Ivey;Texas;6-4;215;G;Bucks
205;Desmond Mason;Oklahoma State;6-5;222;F;Bucks
206;Michael Redd;Ohio State;6-6;215;G;Bucks
207;Michael Ruffin;Tulsa;6-8;248;F-C;Bucks
208;Ramon Sessions;Nevava-Reno;6-3;190;G;Bucks
209;Bobby Simmons;DePaul;6-6;230;F;Bucks
210;Awvee Store;Arizona State;6-6;225;F-G;Bucks
